knot,p,q,Ord(K)+1 is multiplicative?,answer to Question 1.4
m004,2,3,False,True
m004,2,5,False,True
m004,2,7,False,True
m004,2,9,False,True
m004,2,11,False,True
m015,2,3,False,True
m015,2,5,True,True
m015,2,7,True,True
m015,2,9,True,True
m015,2,11,True,True
m032,2,3,False,True
m032,2,5,False,True
m032,2,7,False,True
m032,2,9,False,True
m032,2,11,False,True
m053,2,3,False,True
m053,2,5,True,True
m053,2,7,True,True
m053,2,9,True,True
m053,2,11,True,True
m074,2,3,False,True
m074,2,5,False,True
m074,2,7,False,True
m074,2,9,False,True
m074,2,11,False,True
m094,2,3,False,True
m094,2,5,True,True
m094,2,7,True,True
m094,2,9,True,True
m094,2,11,True,True
m199,2,7,False,True
m199,2,9,False,True
m199,2,11,False,True
m199,2,13,False,True
m199,2,15,False,True
m201,2,7,True,True
m201,2,9,True,True
m201,2,11,True,True
m201,2,13,True,True
m201,2,15,True,True
m222,2,7,False,True
m222,2,9,False,True
m222,2,11,False,True
m222,2,13,False,True
m222,2,15,False,True
m224,2,7,False,True
m224,2,9,False,True
m224,2,11,False,True
m224,2,13,False,True
m224,2,15,False,True
m289,2,7,False,True
m289,2,9,False,True
m289,2,11,False,True
m289,2,13,False,True
m289,2,15,False,True
m340,2,7,True,True
m340,2,9,True,True
m340,2,11,True,True
m340,2,13,True,True
m340,2,15,True,True
m372,2,3,False,True
m372,2,5,False,True
m372,2,7,False,True
m372,2,9,False,True
m372,2,11,False,True
m389,2,15,True,True
m389,2,17,True,True
m389,2,19,True,True
m389,2,21,True,True
m389,2,23,True,True
s016,2,3,False,True
s016,2,5,False,True
s016,2,7,False,True
s016,2,9,False,True
s016,2,11,False,True
s023,2,3,False,True
s023,2,5,True,True
s023,2,7,True,True
s023,2,9,True,True
s023,2,11,True,True
s188,2,11,True,True
s188,2,13,True,True
s188,2,15,True,True
s188,2,17,True,True
s188,2,19,True,True
s194,2,11,False,True
s194,2,13,False,True
s194,2,15,False,True
s194,2,17,False,True
s194,2,19,False,True
s239,2,7,False,True
s239,2,9,False,True
s239,2,11,False,True
s239,2,13,False,True
s239,2,15,False,True
s385,2,11,False,True
s385,2,13,False,True
s385,2,15,False,True
s385,2,17,False,True
s385,2,19,False,True
s451,2,11,False,True
s451,2,13,False,True
s451,2,15,False,True
s451,2,17,False,True
s451,2,19,False,True
s526,2,11,True,True
s526,2,13,True,True
s526,2,15,True,True
s526,2,17,True,True
s526,2,19,True,True
s558,2,11,True,True
s558,2,13,True,True
s558,2,15,True,True
s558,2,17,True,True
s558,2,19,True,True
s580,2,7,True,True
s580,2,9,True,True
s580,2,11,True,True
s580,2,13,True,True
s580,2,15,True,True
s648,2,3,False,True
s648,2,5,False,True
s648,2,7,False,True
s648,2,9,False,True
s648,2,11,False,True
s704,2,7,False,True
s704,2,9,False,True
s704,2,11,False,True
s704,2,13,False,True
s704,2,15,False,True
s726,2,3,False,True
s726,2,5,False,True
s726,2,7,False,True
s726,2,9,False,True
s726,2,11,False,True
s836,2,15,True,True
s836,2,17,True,True
s836,2,19,True,True
s836,2,21,True,True
s836,2,23,True,True
s841,2,27,True,True
s841,2,29,True,True
s841,2,31,True,True
s841,2,33,True,True
s841,2,35,True,True
s862,2,7,False,True
s862,2,9,False,True
s862,2,11,False,True
s862,2,13,False,True
s862,2,15,False,True
s870,2,7,True,True
s870,2,9,True,True
s870,2,11,True,True
s870,2,13,True,True
s870,2,15,True,True
s879,2,3,False,True
s879,2,5,False,True
s879,2,7,False,True
s879,2,9,False,True
s879,2,11,False,True
s912,2,7,False,True
s912,2,9,False,True
s912,2,11,False,True
s912,2,13,False,True
s912,2,15,False,True
v0016,2,3,False,True
v0016,2,5,False,True
v0016,2,7,False,True
v0016,2,9,False,True
v0016,2,11,False,True
v0025,2,3,False,True
v0025,2,5,True,True
v0025,2,7,True,True
v0025,2,9,True,True
v0025,2,11,True,True
v0321,2,15,True,True
v0321,2,17,True,True
v0321,2,19,True,True
v0321,2,21,True,True
v0321,2,23,True,True
v0329,2,15,False,True
v0329,2,17,False,True
v0329,2,19,False,True
v0329,2,21,False,True
v0329,2,23,False,True
v0521,2,11,False,True
v0521,2,13,False,True
v0521,2,15,False,True
v0521,2,17,False,True
v0521,2,19,False,True
v0535,2,15,False,True
v0535,2,17,False,True
v0535,2,19,False,True
v0535,2,21,False,True
v0535,2,23,False,True
v0595,2,11,True,True
v0595,2,13,True,True
v0595,2,15,True,True
v0595,2,17,True,True
v0595,2,19,True,True
v0600,2,15,False,True
v0600,2,17,False,True
v0600,2,19,False,True
v0600,2,21,False,True
v0600,2,23,False,True
v0656,2,19,False,True
v0656,2,21,False,True
v0656,2,23,False,True
v0656,2,25,False,True
v0656,2,27,False,True
v0960,2,15,True,True
v0960,2,17,True,True
v0960,2,19,True,True
v0960,2,21,True,True
v0960,2,23,True,True
v1063,2,15,False,True
v1063,2,17,False,True
v1063,2,19,False,True
v1063,2,21,False,True
v1063,2,23,False,True
v1126,2,19,True,True
v1126,2,21,True,True
v1126,2,23,True,True
v1126,2,25,True,True
v1126,2,27,True,True
v1217,2,15,True,True
v1217,2,17,True,True
v1217,2,19,True,True
v1217,2,21,True,True
v1217,2,23,True,True
v1243,2,15,True,True
v1243,2,17,True,True
v1243,2,19,True,True
v1243,2,21,True,True
v1243,2,23,True,True
v1348,2,19,False,True
v1348,2,21,False,True
v1348,2,23,False,True
v1348,2,25,False,True
v1348,2,27,False,True
v1434,2,19,True,True
v1434,2,21,True,True
v1434,2,23,True,True
v1434,2,25,True,True
v1434,2,27,True,True
v1811,2,15,True,True
v1811,2,17,True,True
v1811,2,19,True,True
v1811,2,21,True,True
v1811,2,23,True,True
v1935,2,15,True,True
v1935,2,17,True,True
v1935,2,19,True,True
v1935,2,21,True,True
v1935,2,23,True,True
v1964,2,7,True,True
v1964,2,9,True,True
v1964,2,11,True,True
v1964,2,13,True,True
v1964,2,15,True,True
v1971,2,15,False,True
v1971,2,17,False,True
v1971,2,19,False,True
v1971,2,21,False,True
v1971,2,23,False,True
v2001,2,3,False,True
v2001,2,5,False,True
v2001,2,7,False,True
v2001,2,9,False,True
v2001,2,11,False,True
v2166,2,11,True,True
v2166,2,13,True,True
v2166,2,15,True,True
v2166,2,17,True,True
v2166,2,19,True,True
v2191,2,39,True,True
v2191,2,41,True,True
v2191,2,43,True,True
v2191,2,45,True,True
v2191,2,47,True,True
v2257,2,3,False,True
v2257,2,5,False,True
v2257,2,7,False,True
v2257,2,9,False,True
v2257,2,11,False,True
v2272,2,7,False,True
v2272,2,9,False,True
v2272,2,11,False,True
v2272,2,13,False,True
v2272,2,15,False,True
v2284,2,3,False,True
v2284,2,5,False,True
v2284,2,7,False,True
v2284,2,9,False,True
v2284,2,11,False,True
v2362,2,3,False,True
v2362,2,5,False,True
v2362,2,7,False,True
v2362,2,9,False,True
v2362,2,11,False,True
v2488,2,7,False,True
v2488,2,9,False,True
v2488,2,11,False,True
v2488,2,13,False,True
v2488,2,15,False,True
v2508,2,11,False,True
v2508,2,13,False,True
v2508,2,15,False,True
v2508,2,17,False,True
v2508,2,19,False,True
v2520,2,7,True,True
v2520,2,9,True,True
v2520,2,11,True,True
v2520,2,13,True,True
v2520,2,15,True,True
v2543,2,7,False,True
v2543,2,9,False,True
v2543,2,11,False,True
v2543,2,13,False,True
v2543,2,15,False,True
v2552,2,15,True,True
v2552,2,17,True,True
v2552,2,19,True,True
v2552,2,21,True,True
v2552,2,23,True,True
v2553,2,11,True,True
v2553,2,13,True,True
v2553,2,15,True,True
v2553,2,17,True,True
v2553,2,19,True,True
v2623,2,11,True,True
v2623,2,13,True,True
v2623,2,15,True,True
v2623,2,17,True,True
v2623,2,19,True,True
v2624,2,15,True,True
v2624,2,17,True,True
v2624,2,19,True,True
v2624,2,21,True,True
v2624,2,23,True,True
v2642,2,19,True,True
v2642,2,21,True,True
v2642,2,23,True,True
v2642,2,25,True,True
v2642,2,27,True,True
v2743,2,3,False,True
v2743,2,5,False,True
v2743,2,7,False,True
v2743,2,9,False,True
v2743,2,11,False,True
v2851,2,31,True,True
v2851,2,33,True,True
v2851,2,35,True,True
v2851,2,37,True,True
v2851,2,39,True,True
v2858,2,11,True,True
v2858,2,13,True,True
v2858,2,15,True,True
v2858,2,17,True,True
v2858,2,19,True,True
v2861,2,3,False,True
v2861,2,5,False,True
v2861,2,7,False,True
v2861,2,9,False,True
v2861,2,11,False,True
v2869,2,11,False,True
v2869,2,13,False,True
v2869,2,15,False,True
v2869,2,17,False,True
v2869,2,19,False,True
v2888,2,27,True,True
v2888,2,29,True,True
v2888,2,31,True,True
v2888,2,33,True,True
v2888,2,35,True,True
v2894,2,11,True,True
v2894,2,13,True,True
v2894,2,15,True,True
v2894,2,17,True,True
v2894,2,19,True,True
v3081,2,27,True,True
v3081,2,29,True,True
v3081,2,31,True,True
v3081,2,33,True,True
v3081,2,35,True,True
v3093,2,7,False,True
v3093,2,9,False,True
v3093,2,11,False,True
v3093,2,13,False,True
v3093,2,15,False,True
v3169,2,3,False,True
v3169,2,5,True,True
v3169,2,7,True,True
v3169,2,9,True,True
v3169,2,11,True,True
v3195,2,11,False,True
v3195,2,13,False,True
v3195,2,15,False,True
v3195,2,17,False,True
v3195,2,19,False,True
v3199,2,27,True,True
v3199,2,29,True,True
v3199,2,31,True,True
v3199,2,33,True,True
v3199,2,35,True,True
v3310,2,7,True,True
v3310,2,9,True,True
v3310,2,11,True,True
v3310,2,13,True,True
v3310,2,15,True,True
v3320,2,11,False,True
v3320,2,13,False,True
v3320,2,15,False,True
v3320,2,17,False,True
v3320,2,19,False,True
v3356,2,31,True,True
v3356,2,33,True,True
v3356,2,35,True,True
v3356,2,37,True,True
v3356,2,39,True,True
v3423,2,7,False,True
v3423,2,9,False,True
v3423,2,11,False,True
v3423,2,13,False,True
v3423,2,15,False,True
v3505,2,7,True,True
v3505,2,9,True,True
v3505,2,11,True,True
v3505,2,13,True,True
v3505,2,15,True,True
v3536,2,7,False,True
v3536,2,9,False,True
v3536,2,11,False,True
v3536,2,13,False,True
v3536,2,15,False,True
v3541,2,19,False,True
v3541,2,21,False,True
v3541,2,23,False,True
v3541,2,25,False,True
v3541,2,27,False,True
t00017,2,3,False,True
t00017,2,5,False,True
t00017,2,7,False,True
t00017,2,9,False,True
t00017,2,11,False,True
t00027,2,3,False,True
t00027,2,5,True,True
t00027,2,7,True,True
t00027,2,9,True,True
t00027,2,11,True,True
t00565,2,19,True,True
t00565,2,21,True,True
t00565,2,23,True,True
t00565,2,25,True,True
t00565,2,27,True,True
t00577,2,19,False,True
t00577,2,21,False,True
t00577,2,23,False,True
t00577,2,25,False,True
t00577,2,27,False,True
t01039,2,15,False,True
t01039,2,17,False,True
t01039,2,19,False,True
t01039,2,21,False,True
t01039,2,23,False,True
K4a1,2,3,False,True
K4a1,2,5,False,True
K4a1,2,7,False,True
K4a1,2,9,False,True
K4a1,2,11,False,True
K5a1,2,3,False,True
K5a1,2,5,True,True
K5a1,2,7,True,True
K5a1,2,9,True,True
K5a1,2,11,True,True
K6a1,2,7,False,True
K6a1,2,9,False,True
K6a1,2,11,False,True
K6a1,2,13,False,True
K6a1,2,15,False,True
K6a2,2,7,True,True
K6a2,2,9,True,True
K6a2,2,11,True,True
K6a2,2,13,True,True
K6a2,2,15,True,True
K6a3,2,3,False,True
K6a3,2,5,False,True
K6a3,2,7,False,True
K6a3,2,9,False,True
K6a3,2,11,False,True
K7a1,2,7,False,True
K7a1,2,9,False,True
K7a1,2,11,False,True
K7a1,2,13,False,True
K7a1,2,15,False,True
K7a2,2,7,True,True
K7a2,2,9,True,True
K7a2,2,11,True,True
K7a2,2,13,True,True
K7a2,2,15,True,True
K7a3,2,7,True,True
K7a3,2,9,True,True
K7a3,2,11,True,True
K7a3,2,13,True,True
K7a3,2,15,True,True
K7a4,2,3,False,True
K7a4,2,5,True,True
K7a4,2,7,True,True
K7a4,2,9,True,True
K7a4,2,11,True,True
K7a5,2,7,True,True
K7a5,2,9,True,True
K7a5,2,11,True,True
K7a5,2,13,True,True
K7a5,2,15,True,True
K7a6,2,3,False,True
K7a6,2,5,True,True
K7a6,2,7,True,True
K7a6,2,9,True,True
K7a6,2,11,True,True
K8a1,2,7,True,True
K8a1,2,9,True,True
K8a1,2,11,True,True
K8a1,2,13,True,True
K8a1,2,15,True,True
K8a2,2,7,True,True
K8a2,2,9,True,True
K8a2,2,11,True,True
K8a2,2,13,True,True
K8a2,2,15,True,True
K8a3,2,11,False,True
K8a3,2,13,False,True
K8a3,2,15,False,True
K8a3,2,17,False,True
K8a3,2,19,False,True
K8a4,2,7,False,True
K8a4,2,9,False,True
K8a4,2,11,False,True
K8a4,2,13,False,True
K8a4,2,15,False,True
K8a5,2,7,False,True
K8a5,2,9,False,True
K8a5,2,11,False,True
K8a5,2,13,False,True
K8a5,2,15,False,True
K8a6,2,11,False,True
K8a6,2,13,False,True
K8a6,2,15,False,True
K8a6,2,17,False,True
K8a6,2,19,False,True
K8a7,2,7,False,True
K8a7,2,9,False,True
K8a7,2,11,False,True
K8a7,2,13,False,True
K8a7,2,15,False,True
K8a8,2,11,True,True
K8a8,2,13,True,True
K8a8,2,15,True,True
K8a8,2,17,True,True
K8a8,2,19,True,True
K8a9,2,7,True,True
K8a9,2,9,True,True
K8a9,2,11,True,True
K8a9,2,13,True,True
K8a9,2,15,True,True
K8a10,2,7,True,True
K8a10,2,9,True,True
K8a10,2,11,True,True
K8a10,2,13,True,True
K8a10,2,15,True,True
K8a11,2,3,False,True
K8a11,2,5,False,True
K8a11,2,7,False,True
K8a11,2,9,False,True
K8a11,2,11,False,True
K8a12,2,11,False,True
K8a12,2,13,False,True
K8a12,2,15,False,True
K8a12,2,17,False,True
K8a12,2,19,False,True
K8a13,2,11,True,True
K8a13,2,13,True,True
K8a13,2,15,True,True
K8a13,2,17,True,True
K8a13,2,19,True,True
K8a14,2,11,False,True
K8a14,2,13,False,True
K8a14,2,15,False,True
K8a14,2,17,False,True
K8a14,2,19,False,True
K8a15,2,11,False,True
K8a15,2,13,False,True
K8a15,2,15,False,True
K8a15,2,17,False,True
K8a15,2,19,False,True
K8a16,2,11,False,True
K8a16,2,13,False,True
K8a16,2,15,False,True
K8a16,2,17,False,True
K8a16,2,19,False,True
K8a17,2,7,False,True
K8a17,2,9,False,True
K8a17,2,11,False,True
K8a17,2,13,False,True
K8a17,2,15,False,True
K8a18,2,3,False,True
K8a18,2,5,False,True
K8a18,2,7,False,True
K8a18,2,9,False,True
K8a18,2,11,False,True
K8n1,2,7,False,True
K8n1,2,9,False,True
K8n1,2,11,False,True
K8n1,2,13,False,True
K8n1,2,15,False,True
K8n2,2,7,True,True
K8n2,2,9,True,True
K8n2,2,11,True,True
K8n2,2,13,True,True
K8n2,2,15,True,True
K9a1,2,11,False,True
K9a1,2,13,False,True
K9a1,2,15,False,True
K9a1,2,17,False,True
K9a1,2,19,False,True
K9a2,2,11,True,True
K9a2,2,13,True,True
K9a2,2,15,True,True
K9a2,2,17,True,True
K9a2,2,19,True,True
K9a3,2,7,False,True
K9a3,2,9,False,True
K9a3,2,11,False,True
K9a3,2,13,False,True
K9a3,2,15,False,True
K9a4,2,7,True,True
K9a4,2,9,True,True
K9a4,2,11,True,True
K9a4,2,13,True,True
K9a4,2,15,True,True
K9a5,2,11,True,True
K9a5,2,13,True,True
K9a5,2,15,True,True
K9a5,2,17,True,True
K9a5,2,19,True,True
K9a6,2,11,False,True
K9a6,2,13,False,True
K9a6,2,15,False,True
K9a6,2,17,False,True
K9a6,2,19,False,True
K9a7,2,11,False,True
K9a7,2,13,False,True
K9a7,2,15,False,True
K9a7,2,17,False,True
K9a7,2,19,False,True
K9a8,2,7,True,True
K9a8,2,9,True,True
K9a8,2,11,True,True
K9a8,2,13,True,True
K9a8,2,15,True,True
K9a9,2,11,True,True
K9a9,2,13,True,True
K9a9,2,15,True,True
K9a9,2,17,True,True
K9a9,2,19,True,True
K9a10,2,7,False,True
K9a10,2,9,False,True
K9a10,2,11,False,True
K9a10,2,13,False,True
K9a10,2,15,False,True
K9a11,2,11,False,True
K9a11,2,13,False,True
K9a11,2,15,False,True
K9a11,2,17,False,True
K9a11,2,19,False,True
K9a12,2,11,False,True
K9a12,2,13,False,True
K9a12,2,15,False,True
K9a12,2,17,False,True
K9a12,2,19,False,True
K9a13,2,11,True,True
K9a13,2,13,True,True
K9a13,2,15,True,True
K9a13,2,17,True,True
K9a13,2,19,True,True
K9a14,2,11,True,True
K9a14,2,13,True,True
K9a14,2,15,True,True
K9a14,2,17,True,True
K9a14,2,19,True,True
K9a15,2,11,False,True
K9a15,2,13,False,True
K9a15,2,15,False,True
K9a15,2,17,False,True
K9a15,2,19,False,True
K9a16,2,7,True,True
K9a16,2,9,True,True
K9a16,2,11,True,True
K9a16,2,13,True,True
K9a16,2,15,True,True
K9a17,2,7,False,True
K9a17,2,9,False,True
K9a17,2,11,False,True
K9a17,2,13,False,True
K9a17,2,15,False,True
K9a18,2,7,False,True
K9a18,2,9,False,True
K9a18,2,11,False,True
K9a18,2,13,False,True
K9a18,2,15,False,True
K9a19,2,11,True,True
K9a19,2,13,True,True
K9a19,2,15,True,True
K9a19,2,17,True,True
K9a19,2,19,True,True
K9a20,2,11,True,True
K9a20,2,13,True,True
K9a20,2,15,True,True
K9a20,2,17,True,True
K9a20,2,19,True,True
K9a21,2,7,False,True
K9a21,2,9,False,True
K9a21,2,11,False,True
K9a21,2,13,False,True
K9a21,2,15,False,True
K9a22,2,7,True,True
K9a22,2,9,True,True
K9a22,2,11,True,True
K9a22,2,13,True,True
K9a22,2,15,True,True
K9a23,2,11,True,True
K9a23,2,13,True,True
K9a23,2,15,True,True
K9a23,2,17,True,True
K9a23,2,19,True,True
K9a24,2,7,True,True
K9a24,2,9,True,True
K9a24,2,11,True,True
K9a24,2,13,True,True
K9a24,2,15,True,True
K9a25,2,11,True,True
K9a25,2,13,True,True
K9a25,2,15,True,True
K9a25,2,17,True,True
K9a25,2,19,True,True
K9a26,2,7,True,True
K9a26,2,9,True,True
K9a26,2,11,True,True
K9a26,2,13,True,True
K9a26,2,15,True,True
K9a27,2,3,False,True
K9a27,2,5,True,True
K9a27,2,7,True,True
K9a27,2,9,True,True
K9a27,2,11,True,True
K9a28,2,11,False,True
K9a28,2,13,False,True
K9a28,2,15,False,True
K9a28,2,17,False,True
K9a28,2,19,False,True
K9a29,2,7,False,True
K9a29,2,9,False,True
K9a29,2,11,False,True
K9a29,2,13,False,True
K9a29,2,15,False,True
K9a30,2,7,True,True
K9a30,2,9,True,True
K9a30,2,11,True,True
K9a30,2,13,True,True
K9a30,2,15,True,True
K9a31,2,11,False,True
K9a31,2,13,False,True
K9a31,2,15,False,True
K9a31,2,17,False,True
K9a31,2,19,False,True
K9a32,2,7,False,True
K9a32,2,9,False,True
K9a32,2,11,False,True
K9a32,2,13,False,True
K9a32,2,15,False,True
K9a33,2,11,True,True
K9a33,2,13,True,True
K9a33,2,15,True,True
K9a33,2,17,True,True
K9a33,2,19,True,True
K9a34,2,7,True,True
K9a34,2,9,True,True
K9a34,2,11,True,True
K9a34,2,13,True,True
K9a34,2,15,True,True
K9a35,2,7,True,True
K9a35,2,9,True,True
K9a35,2,11,True,True
K9a35,2,13,True,True
K9a35,2,15,True,True
K9a36,2,3,False,True
K9a36,2,5,True,True
K9a36,2,7,True,True
K9a36,2,9,True,True
K9a36,2,11,True,True
K9a37,2,11,True,True
K9a37,2,13,True,True
K9a37,2,15,True,True
K9a37,2,17,True,True
K9a37,2,19,True,True
K9a38,2,11,True,True
K9a38,2,13,True,True
K9a38,2,15,True,True
K9a38,2,17,True,True
K9a38,2,19,True,True
K9a39,2,7,True,True
K9a39,2,9,True,True
K9a39,2,11,True,True
K9a39,2,13,True,True
K9a39,2,15,True,True
K9a40,2,3,False,True
K9a40,2,5,True,True
K9a40,2,7,True,True
K9a40,2,9,True,True
K9a40,2,11,True,True
K9n1,2,7,False,True
K9n1,2,9,False,True
K9n1,2,11,False,True
K9n1,2,13,False,True
K9n1,2,15,False,True
K9n2,2,7,False,True
K9n2,2,9,False,True
K9n2,2,11,False,True
K9n2,2,13,False,True
K9n2,2,15,False,True
K9n3,2,11,True,True
K9n3,2,13,True,True
K9n3,2,15,True,True
K9n3,2,17,True,True
K9n3,2,19,True,True
K9n4,2,7,False,True
K9n4,2,9,False,True
K9n4,2,11,False,True
K9n4,2,13,False,True
K9n4,2,15,False,True
K9n5,2,3,False,True
K9n5,2,5,False,True
K9n5,2,7,False,True
K9n5,2,9,False,True
K9n5,2,11,False,True
K9n6,2,7,False,True
K9n6,2,9,False,True
K9n6,2,11,False,True
K9n6,2,13,False,True
K9n6,2,15,False,True
K9n7,2,11,True,True
K9n7,2,13,True,True
K9n7,2,15,True,True
K9n7,2,17,True,True
K9n7,2,19,True,True
K9n8,2,7,True,True
K9n8,2,9,True,True
K9n8,2,11,True,True
K9n8,2,13,True,True
K9n8,2,15,True,True
K10a1,2,11,False,True
K10a1,2,13,False,True
K10a1,2,15,False,True
K10a1,2,17,False,True
K10a1,2,19,False,True
K10a2,2,11,True,True
K10a2,2,13,True,True
K10a2,2,15,True,True
K10a2,2,17,True,True
K10a2,2,19,True,True
K10a3,2,11,False,True
K10a3,2,13,False,True
K10a3,2,15,False,True
